ATRC,08-27-21,74.48,180424.0,345634.0,3420000000,0,0,1.07,Positive,517,186,8,0,7,1,0,0.7,19.5,61.12
ATOM,08-27-21,24.38,421433.0,680517.0,563080000,0,0,1.5,Neutral,144,97,1,0,1,0,0,14.85,14.85,14.85
ASTS,08-27-21,10.99,2100000.0,2310000.0,315960000,0,0,0.06,Neutral,2,238,2,0,2,0,0,163.88,191.17,218.47
ATHE,08-27-21,1.39,282659.0,3400000.0,31420000,0,0,1.64,Neutral,1,180,1,0,1,0,0,187.77,187.77,187.77
ATXI,08-27-21,1.68,223199.0,271062.0,28140000,0,0,0.61,Neutral,144,96,1,0,0,1,0,257.14,257.14,257.14
ATOS,08-27-21,3.73,5210000.0,19260000.0,472300000,0,0,2.24,Positive,222,108,2,0,2,0,0,87.67,101.07,114.48
AUTL,08-27-21,6.79,592027.0,1280000.0,493920000,0,0,1.68,Negative,197,101,7,0,5,2,0,32.55,116.05,209.28
AUDC,08-27-21,32.7,91894.0,191140.0,1070000000,33.71,1.04,0.57,Positive,316,119,3,0,2,0,1,-2.14,12.14,22.32
ARWR,08-27-21,66.07,703915.0,811540.0,6890000000,0,0,1.24,Neutral,493,237,10,0,8,2,0,-48.54,31.13,66.49
ASPU,08-27-21,5.73,116168.0,247506.0,143640000,0,0,0.66,Neutral,197,131,4,0,4,0,0,109.42,133.86,161.78
ATRS,08-27-21,4.0,702007.0,996339.0,679870000,10.53,0,1.49,Neutral,402,160,5,0,5,0,0,37.5,62.5,75.0
ATNX,08-27-21,3.64,952695.0,3500000.0,397880000,0,0,0.61,Neutral,289,147,9,0,3,6,0,9.89,178.57,641.76
ASYS,08-27-21,10.01,92108.0,155259.0,142670000,0,0,1.52,Neutral,299,185,2,0,2,0,0,49.85,54.85,59.84
ATVI,08-27-21,82.43,5980000.0,6270000.0,64110000000,24.68,0.58,0.6,Neutral,1726,445,22,0,20,2,0,21.32,37.63,51.64
ATRA,08-27-21,14.7,1140000.0,849570.0,1250000000,0,0,2.43,Positive,415,165,8,0,7,1,0,83.67,158.5,430.61
AUTO,08-27-21,2.6,41618.0,244049.0,35010000,0,0,2.25,Neutral,453,192,2,0,2,0,0,34.62,82.69,130.77
ATNI,08-27-21,45.37,40041.0,43177.0,719750000,0,1.52,0.24,Neutral,284,171,3,0,3,0,0,16.82,30.04,41.06
ATRO,08-27-21,13.9,81263.0,229208.0,429890000,0,0,2.08,Positive,382,186,3,0,2,1,0,0.72,19.93,43.88
AUB,08-27-21,37.98,286467.0,271815.0,2920000000,11.94,3.05,1.36,Neutral,5,3,3,0,1,2,0,-23.64,-0.82,13.22
AUPH,08-27-21,17.7,5510000.0,4139999.9999999995,2270000000,0,0,0.52,Neutral,545,182,6,0,6,0,0,29.94,67.23,97.74
AVT,08-27-21,41.14,383929.0,770815.0,4090000000,21.43,2.18,1.53,Neutral,7,3,5,1,2,1,1,-39.23,-5.69,28.83
AXDX,08-27-21,6.24,132252.0,336839.0,383750000,0,0,1.89,Neutral,350,164,2,0,1,1,0,44.23,44.23,44.23
AVDL,08-27-21,8.26,274792.0,360408.0,484000000,0,0,1.3,Positive,293,153,3,0,3,0,0,105.81,105.81,105.81
AVXL,08-27-21,19.03,943416.0,2800000.0,1440000000,0,0,0.74,Positive,407,132,5,0,5,0,0,5.1,77.61,110.19
AXLA,08-27-21,3.42,37133.0,173875.0,130570000,0,0,1.39,Positive,68,28,7,0,6,0,1,192.4,323.98,718.71
AVNW,08-27-21,35.57,264563.0,360627.0,397100000,3.86,0,2.16,Neutral,217,107,3,0,3,0,0,-19.88,19.48,40.57
AVRO,08-27-21,6.27,304345.0,512712.0,273520000,0,0,1.35,Neutral,162,69,10,0,8,2,0,59.49,305.1,474.16
AVAV,08-27-21,103.44,192138.0,202509.0,2570000000,107.75,0,0.34,Neutral,396,332,6,0,4,2,0,-3.33,12.14,16.01
AXNX,08-27-21,73.57,456835.0,540707.0,3390000000,0,0,0.07,Neutral,145,55,7,0,7,0,0,-22.52,-5.45,7.38
AVGO,08-27-21,495.94,1640000.0,1850000.0,203460000000,46.22,2.96,0.93,Neutral,2321,440,23,0,18,5,0,-27.41,0.2,16.95
AVPT,08-27-21,9.82,679113.0,1250000.0,1770000000,0,0,0.71,Neutral,8,185,6,0,5,1,0,16.6,45.93,73.12
AVID,08-27-21,26.32,341627.0,510370.0,1200000000,44.61,0,1.38,Positive,281,172,4,0,4,0,0,-16.41,41.83,70.97
AZPN,08-27-21,130.58,306698.0,518768.0,8760000000,27.15,0,1.26,Neutral,428,226,6,0,3,2,1,7.21,16.25,26.36
BAND,08-27-21,105.12,232385.0,405363.0,2640000000,0,0,0.46,Neutral,395,254,10,0,7,3,0,18.91,65.33,101.67
AVEO,08-27-21,6.54,412734.0,1300000.0,224810000,0,0,1.19,Positive,398,187,4,0,4,0,0,37.61,175.23,297.55
AWH,08-27-21,3.69,346487.0,604027.0,413530000,0,0,3.09,Neutral,8,3,6,0,5,1,0,171.0,207.05,225.2
BATRK,08-27-21,26.17,59919.0,128656.0,1070000000,0,0,0.93,Neutral,174,114,2,0,1,1,0,14.64,24.19,33.74
BANF,08-27-21,57.29,118063.0,90714.0,1880000000,12.99,2.45,1.42,Neutral,217,157,1,0,0,1,0,-100.0,-100.0,-100.0
AXTI,08-27-21,9.33,372805.0,449219.0,396590000,37.32,0,2.24,Neutral,422,192,4,0,3,1,0,28.62,71.49,114.36
BANR,08-27-21,58.3,154719.0,164377.0,2009999999,11.61,2.93,1.15,Neutral,312,202,4,1,1,2,0,-14.24,-3.95,8.06
AXGN,08-27-21,16.82,139437.0,214659.0,696300000,0,0,0.72,Neutral,418,156,4,0,3,1,0,36.74,45.66,60.52
AVGR,08-27-21,0.88,811953.0,9160000.0,84150000,0,0,1.73,Neutral,383,166,2,0,2,0,0,184.09,184.09,184.09
AXON,08-27-21,187.01,322306.0,482603.0,12280000000,0,0,0.48,Positive,392,202,6,1,4,1,0,-9.1,9.35,33.68
BANX,08-27-21,22.04,15540.0,16631.0,144850000,8.22,6.89,0.69,Neutral,258,99,1,0,1,0,0,-100.0,-100.0,-100.0
AZRX,08-27-21,0.63,1220000.0,5680000.0,58320000,0,0,1.49,Neutral,225,78,4,0,3,1,0,217.46,428.57,693.65
BATRA,08-27-21,26.35,53135.0,53000.0,271750000,0,0,0.92,Positive,110,64,3,0,2,1,0,-100.0,-100.0,-100.0
BBBY,08-27-21,28.33,2170000.0,8560000.0,2960000000,38.28,0,1.83,Neutral,859,722,16,0,4,9,3,-57.64,-0.92,55.31
BBCP,08-27-21,8.34,101605.0,183308.0,472860000,0,0,1.22,Neutral,120,79,4,0,4,0,0,-40.05,-1.08,31.89
BBI,08-27-21,0.7,450761.0,2190000.0,60140000,0,0,0.19,Positive,6,9,2,0,2,0,0,757.14,757.14,757.14
AZN,08-27-21,58.63,5240000.0,10330000.0,181650000000,40.72,2.33,0.53,Neutral,25,8,15,0,12,2,1,17.69,108.08,198.48
AY,08-27-21,38.25,375459.0,868441.0,4080000000,115.91,4.52,0.67,Positive,433,206,6,0,3,3,0,-0.65,10.33,22.88
BBIO,08-27-21,50.48,976647.0,906087.0,7560000000,0,0,0.76,Neutral,100,51,10,0,10,0,0,-2.93,49.23,80.27
BBQ,08-27-21,14.14,41352.0,63504.0,146460000,9.75,0,2.1,Neutral,4,1,1,0,1,0,0,76.8,76.8,76.8
BCOR,08-27-21,16.86,181925.0,324590.0,820590000,0,0,1.66,Neutral,356,217,3,0,3,0,0,12.69,28.53,42.35
BCBP,08-27-21,15.07,33264.0,77035.0,256240000,8.71,4.32,0.62,Neutral,135,78,1,0,0,1,0,-43.6,-43.6,-43.6
BCML,08-27-21,17.31,11755.0,40863.0,185100000,11.17,0,1.06,Neutral,79,63,1,0,1,0,0,3.99,3.99,3.99
BCLI,08-27-21,3.53,71358.0,659417.0,128210000,0,0,0.03,Neutral,290,99,1,0,1,0,0,239.94,239.94,239.94
